id,<病院（保健所別） H27.10.1現在>,hospital_name,開設許可年月日,開設年月日,postal_num,address,開設者コード,開　設　者,管　理　者,services,emergency,phone_number,latitude,longtitude,sickbed_num,general,recuperation,psychosis,tuberculosis,infected,matanity_delivery
1,市立函館,独立行政法人国立病院機構函館病院,S22.4.1,S22.4.1,041-0844,函館市川原町18番16号,1,独立行政法人国立病院機構,大原 正範　,内|神内|小|外|整|脳|呼外|心外|小外|泌|産婦|眼|リハ|放|麻|呼吸器内科|循環器内科|消化器内科|消化器外科|乳腺外科|甲状腺外科|病理診断科|緩和ケア科|精|皮,○,0138-51-6281,41.7891094,140.7735373,310,300,,,10,,
2,市立函館,市立函館病院,H9.11.25,H12.10.8,041-8680,函館市港町1丁目10番1号,6,函館市,木村　純,内|精|神内|小|外|整|形|脳|心外|皮|泌|産婦|眼|耳|放|歯|矯歯|歯外|麻|リウ|呼外|乳腺外科|循環器内科|呼吸器内科|消化器内科|リハ|血液内科|消化器外科|病理診断科，救急科,○,0138-43-2000,41.8055649,140.7302199,668,582,,50,30,6,○
6,市立函館,共愛会病院,S33.3.5,S33.7.28,040-0014,函館市中島町7番21号,22,社会福祉法人函館共愛会,水島　豊,内|呼|消|循|小|外|整|脳|皮|泌|産婦|眼|耳|リハ|放|歯|歯外|麻,○,0138-51-2111,41.7854477,140.7404144,378,245,133,,,,○
7,市立函館,函館中央病院,S11.8.7,S11.8.7,040-0011,函館市本町33番2号,22,社会福祉法人函館厚生院,橋本　友幸,内|小|外|整|形|脳|心外|皮|泌|産婦|眼|耳|リハ|放|歯外|麻|消化器内科|循環器内科|病理診断科|消化器外科|乳腺外科|肛門外科,○,0138-52-1231,41.7867868,140.7517385,527,527,,,,,○
8,市立函館,函館五稜郭病院,S25.2.16,S25.2.16,040-8611,函館市五稜郭町38番3号,22,社会福祉法人函館厚生院,老松　寛,内|小|外|整|形|脳|心外|小外|泌|産婦|眼|耳|リハ|放|歯外|麻|消化器内科|循環器内科|腎臓内科|呼吸器内科|呼吸器外科|病理診断科|消化器外科　　,○,0138-51-2295,41.7924336,140.7555212,516,516,,,,,○
20,市立函館,医療法人社団函館脳神経外科病院,H2.1.16,H2.2.1,041-0832,函館市神山1丁目4番12号,19,医療法人社団函館脳神経外科,西谷　幹雄,循環器内科|脳|リハ|麻,○,0138-53-6111,41.8131872,140.7630978,128,128,,,,,
27,市立函館,医療法人雄心会函館新都市病院,H7.8.29,H7.9.1,041-0802,函館市石川町331番地1,19,医療法人雄心会,青野　允,内|整|脳|リハ|放|麻|歯|循環器内科|脳神経内科,○,0138-46-1321,41.82496,140.7381572,155,155,,,,,
36,渡島,医療法人雄心会新都市砂原病院,平15.１.10,平15.9.１,049-2222,茅部郡森町字砂原1丁目30番地59,19,医療法人雄心会,佐藤　正敏,内|消|循|外|整|脳,,01374-8-3131,42.1268717,140.6629837,83,41,42,,,,
49,八雲,八雲総合病院,S32.9.1,S32.10.3,049-3105,二海郡八雲町東雲町50番地,6,八雲町,佐藤　博,内|精|心臓血管内科|リウ|小|外|整|脳|皮|泌|産婦|眼|耳|リハ|放|歯|麻,○,0137-63-2185,42.2526883,140.2780505,358,214,40,100,,4,○
55,札幌市,時計台記念病院,平17.8.30,平17.10.1,060-0031,札幌市中央区北1条東1丁目2番地3,19,社会医療法人社団カレスサッポロ,本田　耕一,内|循環器内科|消化器内科|糖尿病内科|整|リハ|形|婦|脳|眼|精|麻|放|リウ|外|緩和ケア,○,011-251-1221,43.0632263,141.357451,250,250,,,,,
