id,<病院（保健所別） H27.10.1現在>,hospital_name,開設許可年月日,開設年月日,postal_num,address,開設者コード,開　設　者,管　理　者,services,emergency,phone_number,latitude,longtitude,sickbed_num,general,recuperation,psychosis,tuberculosis,infected,matanity_delivery
2,市立函館,市立函館病院,H9.11.25,H12.10.8,041-8680,函館市港町1丁目10番1号,6,函館市,木村　純,内|精|神内|小|外|整|形|脳|心外|皮|泌|産婦|眼|耳|放|歯|矯歯|歯外|麻|リウ|呼外|乳腺外科|循環器内科|呼吸器内科|消化器内科|リハ|血液内科|消化器外科|病理診断科，救急科,○,0138-43-2000,41.8055649,140.7302199,668,582,,50,30,6,○
6,市立函館,共愛会病院,S33.3.5,S33.7.28,040-0014,函館市中島町7番21号,22,社会福祉法人函館共愛会,水島　豊,内|呼|消|循|小|外|整|脳|皮|泌|産婦|眼|耳|リハ|放|歯|歯外|麻,○,0138-51-2111,41.7854477,140.7404144,378,245,133,,,,○
7,市立函館,函館中央病院,S11.8.7,S11.8.7,040-0011,函館市本町33番2号,22,社会福祉法人函館厚生院,橋本　友幸,内|小|外|整|形|脳|心外|皮|泌|産婦|眼|耳|リハ|放|歯外|麻|消化器内科|循環器内科|病理診断科|消化器外科|乳腺外科|肛門外科,○,0138-52-1231,41.7867868,140.7517385,527,527,,,,,○
8,市立函館,函館五稜郭病院,S25.2.16,S25.2.16,040-8611,函館市五稜郭町38番3号,22,社会福祉法人函館厚生院,老松　寛,内|小|外|整|形|脳|心外|小外|泌|産婦|眼|耳|リハ|放|歯外|麻|消化器内科|循環器内科|腎臓内科|呼吸器内科|呼吸器外科|病理診断科|消化器外科　　,○,0138-51-2295,41.7924336,140.7555212,516,516,,,,,○
23,市立函館,秋山記念病院,H16.8.3,H16.9.1,041-0802,函館市石川町41番地9,19,医療法人社団正寿会,秋山　實男,産|婦|乳腺外科|麻,,0138-46-6660,41.8279403,140.7402459,57,57,,,,,○
39,江差,北海道立江差病院,H8.10.28,H10.7.10,043-0022,檜山郡江差町字伏木戸町484番地,5,北海道,寺井　紀雄,内|精|神|小|外|整|産婦|眼|耳|リハ|泌|皮|麻|消内|循内|呼内|腎臓内科,○,0139-52-0036,41.9133846,140.1448073,198,146,,48,,4,○
49,八雲,八雲総合病院,S32.9.1,S32.10.3,049-3105,二海郡八雲町東雲町50番地,6,八雲町,佐藤　博,内|精|心臓血管内科|リウ|小|外|整|脳|皮|泌|産婦|眼|耳|リハ|放|歯|麻,○,0137-63-2185,42.2526883,140.2780505,358,214,40,100,,4,○
57,札幌市,ＪＡ北海道厚生連札幌厚生病院,平4.11.12,平6.10.1,060-0033,札幌市中央区北3条東8丁目5番地,10,北海道厚生農業協同組合連合会,狩野　吉康,内|呼吸器内科|消化器内科|循環器内科|小|外|整|皮|泌|産婦|眼|耳|リハ|放|麻|神内|心外|精|緩和ケア|「糖尿病|内分泌内科」|血液内科|化学療法内科|消化器外科|病理診断科,○,011-261-5331,43.0675817,141.3691834,519,519,,,,,○
61,札幌市,市立札幌病院,平6.7.13,平7.10.11,060-0011,札幌市中央区北11条西13丁目1番1号,6,札幌市,関　利盛,内|精|神内|リウ|小|外|整|形|脳|呼外|小外|皮|泌|産婦|眼|耳|リハ|麻|呼吸器内科|消化器内科|消化器外科|循環器内科|腎臓内科|血液内科|腫瘍内科|乳腺外科|病理診断科|救急科|歯外|心外|糖尿病内分泌内科|新生児内科|緩和ケア内科|感染症内科|腎臓移植外科|放射線診断科|放射線治療科,○,011-726-2211,43.0707969,141.3343443,798,752,,38,,8,○
66,札幌市,ＮＴＴ東日本札幌病院,昭60.4.1,昭60.4.1,060-0061,札幌市中央区南1条西15丁目290番地,21,東日本電信電話株式会社,小池　隆夫,精|呼吸器内科|消化器内科|循環器内科|小|外|消化器外科|呼吸器外科|整|皮|泌|産婦|眼|耳|放|麻|心外|腎臓内科|人工透析内科|「血液|腫瘍内科」|糖尿病内分泌内科|リウ|病,○,011-623-7000,43.055721,141.3344646,301,301,,,,,○
